CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
TLEMTS-L_vs_CTL,R_medialorbitofrontal,-0.073,0.06,-0.191,0.045,1348,410,0.223,0.288,rh,0.2375504326145587,0.0199699788879964,0.0840662703418397,566,-0.073
TLEMTS-L_vs_CTL,R_middletemporal,-0.067,0.081,-0.226,0.093,1336,410,0.413,0.469,rh,0.1423913317327906,0.0119703081877833,0.0840662703418397,566,-0.067
TLEMTS-L_vs_CTL,R_parahippocampal,-0.126,0.087,-0.296,0.044,1344,412,0.146,0.195,rh,0.1480602523901322,0.0124468732043098,0.0840662703418397,566,-0.126
TLEMTS-L_vs_CTL,R_paracentral,-0.378,0.075,-0.526,-0.231,1348,412,5.14e-07,3.54e-06,rh,0.1977158503219996,0.0166212341240359,0.0840662703418397,566,-0.378
TLEMTS-L_vs_CTL,R_parsopercularis,-0.156,0.08,-0.313,0.001,1347,412,0.052,0.0858,rh,0.1847184268977523,0.0155285892127058,0.0840662703418397,566,-0.156
TLEMTS-L_vs_CTL,R_parsorbitalis,-0.139,0.077,-0.29,0.012,1348,412,0.072,0.111,rh,0.2586197940884171,0.0217412015255877,0.0840662703418397,566,-0.139
TLEMTS-L_vs_CTL,R_parstriangularis,-0.285,0.06,-0.403,-0.167,1346,412,2.16e-06,1.21e-05,rh,0.2358975534310017,0.0198310274997091,0.0840662703418397,566,-0.285
TLEMTS-L_vs_CTL,R_pericalcarine,-0.163,0.078,-0.317,-0.01,1348,411,0.037,0.0653,rh,0.2830759246000826,0.0237971372046967,0.0840662703418397,566,-0.163
TLEMTS-L_vs_CTL,R_postcentral,-0.333,0.141,-0.61,-0.056,1344,412,0.018,0.0358,rh,0.1921778600495427,0.0161556759366411,0.0840662703418397,566,-0.333
TLEMTS-L_vs_CTL,R_posteriorcingulate,-0.15,0.097,-0.341,0.041,1348,411,0.123,0.169,rh,0.2301949813449113,0.019351633533076,0.0840662703418397,566,-0.15
TLEMTS-L_vs_CTL,R_precentral,-0.492,0.078,-0.644,-0.339,1345,412,2.37e-10,4.98e-09,rh,0.2035026362683715,0.017107707635814,0.0840662703418397,566,-0.492
TLEMTS-L_vs_CTL,R_precuneus,-0.473,0.104,-0.676,-0.27,1348,412,5.16e-06,2.55e-05,rh,0.1371260823850131,0.0115276783126959,0.0840662703418397,566,-0.473
TLEMTS-L_vs_CTL,R_rostralanteriorcingulate,0.2,0.06,0.082,0.318,1348,411,0.001,0.00296,rh,0.2610519448956334,0.0219456633728593,0.0840662703418397,566,0.2
TLEMTS-L_vs_CTL,R_rostralmiddlefrontal,-0.242,0.095,-0.428,-0.056,1348,412,0.011,0.0237,rh,0.1926313119233477,0.0161937959444514,0.0840662703418397,566,-0.242
TLEMTS-L_vs_CTL,R_superiorfrontal,-0.365,0.06,-0.483,-0.247,1345,412,1.44e-09,2.02e-08,rh,0.1430466106927704,0.0120253950459823,0.0840662703418397,566,-0.365
TLEMTS-L_vs_CTL,R_superiorparietal,-0.474,0.16,-0.787,-0.161,1347,412,0.003,0.0078,rh,0.108187091624542,0.0090948852920061,0.0840662703418397,566,-0.474
TLEMTS-L_vs_CTL,R_superiortemporal,-0.165,0.061,-0.285,-0.044,1249,398,0.007,0.0179,rh,0.1133765729852085,0.0095311456350058,0.0840662703418397,566,-0.165
TLEMTS-L_vs_CTL,R_supramarginal,-0.303,0.089,-0.477,-0.129,1292,400,0.001,0.00229,rh,0.1353690065971711,0.011379967504504,0.0840662703418397,566,-0.303
TLEMTS-L_vs_CTL,R_frontalpole,-0.1,0.06,-0.217,0.017,1348,411,0.095,0.143,rh,0.3307414511871543,0.0278042002487517,0.0840662703418397,566,-0.1
TLEMTS-L_vs_CTL,R_temporalpole,-0.033,0.06,-0.15,0.085,1344,410,0.586,0.616,rh,0.3197440255988185,0.0268796876961784,0.0840662703418397,566,-0.033
TLEMTS-L_vs_CTL,R_transversetemporal,-0.161,0.067,-0.293,-0.028,1348,412,0.017,0.0344,rh,0.1937168517109299,0.0162850532257011,0.0840662703418397,566,-0.161
TLEMTS-L_vs_CTL,R_insula,0.069,0.06,-0.05,0.187,1323,405,0.254,0.314,rh,0.3165856631519613,0.0266141759448833,0.0840662703418397,566,0.069
