CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
OCDadults_casevsCN,R_parstriangularis,-0.0559999999999999,0.006,,,1423,1462,0.133,0.244,rh,0.2358975534310017,0.0198310274997091,0.0840662703418397,566,-0.0559999999999999
OCDadults_casevsCN,R_pericalcarine,0.025,0.005,,,1409,1477,0.513,0.657,rh,0.2830759246000826,0.0237971372046967,0.0840662703418397,566,0.025
OCDadults_casevsCN,R_postcentral,0.036,0.005,,,1414,1473,0.336,0.47,rh,0.1921778600495427,0.0161556759366411,0.0840662703418397,566,0.036
OCDadults_casevsCN,R_posteriorcingulate,-0.057,0.006,,,1427,1492,0.128,0.243,rh,0.2301949813449113,0.019351633533076,0.0840662703418397,566,-0.057
OCDadults_casevsCN,R_precentral,-0.037,0.005,,,1405,1454,0.3279999999999999,0.469,rh,0.2035026362683715,0.017107707635814,0.0840662703418397,566,-0.037
OCDadults_casevsCN,R_precuneus,-0.1009999999999999,0.005,,,1429,1491,0.0069999999999999,0.067,rh,0.1371260823850131,0.0115276783126959,0.0840662703418397,566,-0.1009999999999999
OCDadults_casevsCN,R_rostralanteriorcingulate,0.005,0.009,,,1413,1474,0.892,0.933,rh,0.2610519448956334,0.0219456633728593,0.0840662703418397,566,
OCDadults_casevsCN,R_rostralmiddlefrontal,-0.091,0.005,,,1424,1493,0.015,0.077,rh,0.1926313119233477,0.0161937959444514,0.0840662703418397,566,-0.091
OCDadults_casevsCN,R_superiorfrontal,-0.038,0.006,,,1410,1478,0.309,0.45,rh,0.1430466106927704,0.0120253950459823,0.0840662703418397,566,-0.038
OCDadults_casevsCN,R_superiorparietal,-0.047,0.005,,,1411,1468,0.215,0.341,rh,0.108187091624542,0.0090948852920061,0.0840662703418397,566,-0.047
OCDadults_casevsCN,R_superiortemporal,0.0139999999999999,0.006,,,1316,1380,0.727,0.823,rh,0.1133765729852085,0.0095311456350058,0.0840662703418397,566,0.0139999999999999
OCDadults_casevsCN,R_supramarginal,0.003,0.005,,,1321,1388,0.946,0.946,rh,0.1353690065971711,0.011379967504504,0.0840662703418397,566,
OCDadults_casevsCN,R_frontalpole,0.021,0.012,,,1434,1495,0.5760000000000001,0.695,rh,0.3307414511871543,0.0278042002487517,0.0840662703418397,566,
OCDadults_casevsCN,R_temporalpole,0.015,0.0139999999999999,,,1430,1463,0.687,0.815,rh,0.3197440255988185,0.0268796876961784,0.0840662703418397,566,
OCDadults_casevsCN,R_transversetemporal,-0.024,0.008,,,1434,1496,0.516,0.657,rh,0.1937168517109299,0.0162850532257011,0.0840662703418397,566,-0.024
OCDadults_casevsCN,R_insula,-0.065,0.0069999999999999,,,1415,1462,0.084,0.196,rh,0.3165856631519613,0.0266141759448833,0.0840662703418397,566,-0.065
