Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_fusiform,0.231,-0.04,-15.47,12.92,-40.8,9.86,-0.497,2274,1170,3444,area,all,L_fusiform,lh,0.1480590464773536,0.005045838805338295,0.0840662703418397,566,-0.04
R_fusiform,0.198,-0.043,-16.44,12.78,-41.49,8.61,-0.54,2288,1171,3459,area,all,R_fusiform,rh,0.1441676106290709,0.004902554331774335,0.0840662703418397,566,-0.043
L_inferiorparietal,0.388,-0.029,-17.28,19.99,-56.47,21.92,-0.389,2214,1127,3341,area,all,L_inferiorparietal,lh,0.0921604482852544,0.0031888664873237814,0.0840662703418397,566,-0.029
R_inferiorparietal,0.794,0.009,5.98,22.87,-38.86,50.82,0.114,2229,1153,3382,area,all,R_inferiorparietal,rh,0.0931743589228291,0.0032043474978021382,0.0840662703418397,566,0.009
L_inferiortemporal,0.084,-0.059,-26.98,15.61,-57.58,3.62,-0.84,2214,1107,3321,area,all,L_inferiortemporal,lh,0.1600867279656501,0.0055558547855185545,0.0840662703418397,566,-0.059
R_inferiortemporal,0.151,-0.049,-20.44,14.22,-48.32,7.44,-0.669,2239,1128,3367,area,all,R_inferiortemporal,rh,0.1463527859563971,0.0050443990067315,0.0840662703418397,566,-0.049
L_insula,0.57,0.018,4.54,7.98,-11.11,20.19,0.206,2302,1160,3462,area,all,L_insula,lh,0.299847994886643,0.01019219239007955,0.0840662703418397,566,0.018
R_insula,0.986,0.001,0.17,9.26,-17.98,18.31,0.007,2294,1156,3450,area,all,R_insula,rh,0.374478321744222,0.012751084680493796,0.0840662703418397,566,
L_isthmuscingulate,0.007,0.093,15.71,5.79,4.36,27.07,1.572,2302,1171,3473,area,all,L_isthmuscingulate,lh,0.1325562515823995,0.004498604554866009,0.0840662703418397,566,0.093
R_isthmuscingulate,0.003,0.1,15.66,5.22,5.42,25.9,1.696,2296,1173,3469,area,all,R_isthmuscingulate,rh,0.1798584080766769,0.006107431306096935,0.0840662703418397,566,0.1
L_lateraloccipital,0.001,-0.118,-69.95,20.05,-109.27,-30.63,-1.477,2229,1151,3380,area,all,L_lateraloccipital,lh,0.0874525302944431,0.0030084585006574533,0.0840662703418397,566,-0.118
R_lateraloccipital,0.006,-0.093,-56.27,20.62,-96.7,-15.85,-1.22,2247,1155,3402,area,all,R_lateraloccipital,rh,0.0883526703971253,0.0030295806711939962,0.0840662703418397,566,-0.093
L_lateralorbitofrontal,0.413,-0.028,-7.65,9.35,-25.98,10.68,-0.302,2305,1168,3473,area,all,L_lateralorbitofrontal,lh,0.1678207846915011,0.00569538846642082,0.0840662703418397,566,-0.028
R_lateralorbitofrontal,0.113,0.053,16.13,10.18,-3.84,36.1,0.652,2302,1170,3472,area,all,R_lateralorbitofrontal,rh,0.338660973367915,0.011494902440764777,0.0840662703418397,566,0.053
L_lingual,0.036,-0.072,-30.93,14.71,-59.77,-2.09,-1.038,2241,1155,3396,area,all,L_lingual,lh,0.1180788657866528,0.004052456182812938,0.0840662703418397,566,-0.072
R_lingual,0.001,-0.114,-48.71,14.6,-77.33,-20.08,-1.609,2204,1118,3322,area,all,R_lingual,rh,0.120006334526438,0.004164226585351681,0.0840662703418397,566,-0.114
L_medialorbitofrontal,0.646,-0.016,-3.52,7.67,-18.55,11.51,-0.194,2285,1160,3445,area,all,L_medialorbitofrontal,lh,0.2772285734046759,0.00944655315531018,0.0840662703418397,566,-0.016
R_medialorbitofrontal,0.219,-0.041,-8.27,6.72,-21.44,4.9,-0.459,2281,1160,3441,area,all,R_medialorbitofrontal,rh,0.2373507957582443,0.008092418820599918,0.0840662703418397,566,-0.041
