Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_frontalpole,0.438,-0.089,-0.026,0.034,-0.093,0.04,-1.009,83,325,408,thickness,HY4+5-vs-PD,L_frontalpole,lh,0.3407844666065796,0.03374269022951213,0.0827605888602368,584,-0.089
R_frontalpole,0.001,-0.368,-0.118,0.035,-0.188,-0.048,-4.557,83,326,409,thickness,HY4+5-vs-PD,R_frontalpole,rh,0.3308039802832321,0.03271440817756158,0.0827605888602368,584,-0.368
L_fusiform,0.001,-0.583,-0.122,0.021,-0.164,-0.081,-4.834,83,328,411,thickness,HY4+5-vs-PD,L_fusiform,lh,0.2199788565103603,0.021701513578484235,0.0827605888602368,584,-0.583
R_fusiform,0.001,-0.407,-0.127,0.027,-0.18,-0.074,-4.938,81,329,410,thickness,HY4+5-vs-PD,R_fusiform,rh,0.2034578796835348,0.020096136943499855,0.0827605888602368,584,-0.407
L_inferiorparietal,0.001,-0.522,-0.097,0.019,-0.134,-0.061,-4.355,80,312,392,thickness,HY4+5-vs-PD,L_inferiorparietal,lh,0.1388691826870925,0.014027905825125229,0.0827605888602368,584,-0.522
R_inferiorparietal,0.001,-0.517,-0.111,0.021,-0.152,-0.07,-4.869,82,321,403,thickness,HY4+5-vs-PD,R_inferiorparietal,rh,0.1402146441904612,0.013969177856256551,0.0827605888602368,584,-0.517
L_inferiortemporal,0.001,-0.474,-0.093,0.02,-0.133,-0.054,-3.582,81,317,398,thickness,HY4+5-vs-PD,L_inferiortemporal,lh,0.1931727905328623,0.019365754108308,0.0827605888602368,584,-0.474
R_inferiortemporal,0.001,-0.466,-0.102,0.021,-0.143,-0.061,-3.87,81,324,405,thickness,HY4+5-vs-PD,R_inferiortemporal,rh,0.1804525516817452,0.017933518767718946,0.0827605888602368,584,-0.466
L_insula,0.027,-0.246,-0.057,0.026,-0.107,-0.007,-1.969,83,327,410,thickness,HY4+5-vs-PD,L_insula,lh,0.2981904866965747,0.029453156914955255,0.0827605888602368,584,-0.246
R_insula,0.001,-0.393,-0.112,0.029,-0.169,-0.055,-3.942,83,326,409,thickness,HY4+5-vs-PD,R_insula,rh,0.3167477759911346,0.03132433903678171,0.0827605888602368,584,-0.393
L_isthmuscingulate,0.001,-0.427,-0.103,0.025,-0.153,-0.053,-4.419,83,327,410,thickness,HY4+5-vs-PD,L_isthmuscingulate,lh,0.2212486498239776,0.02185338396499037,0.0827605888602368,584,-0.427
R_isthmuscingulate,0.001,-0.366,-0.091,0.025,-0.14,-0.042,-3.96,83,329,412,thickness,HY4+5-vs-PD,R_isthmuscingulate,rh,0.2184653938129115,0.02152603487895541,0.0827605888602368,584,-0.366
